Video ID,Age,Gender,Ethnicity,chills Binary,chills Binary,Chills #,Chill Intensity,Timings,Daily Chills,NIO_Openess,Prior exposure,Sleppiness,Pre-Pleasure,Prepleasure /2 arrondi,Prepleasure /2,Post-Pleasure,Pre Calm,Pre-calm/2,Pre-calm/2 (rounded),Post Calm,Pre NEO,Post NEO,Diff NEO,Total NEO,Emotion drift,Direction,,,Tan inverse,Calm Diff,Pleasure Diff,,Tan inverse,
H3v9unphfi0,20,female,White,1,TRUE,2,1,"99.57,256.58",1,2,No,8,5,4,2.5,2,5,2.5,1,3,3,9,6,12,0.7071067812,-1.557407725,,,-0.7853981634,0.5,-0.5,FALSE,-0.7853981634,Down
H3v9unphfi0,20,female,White,1,TRUE,5,2,"50.85,96.93,103.63,275.95,314.21",2,2,No,3,8,2,4,3,2,1,1,3,1,7,6,8,2.236067977,-0.5463024898,,,-0.463647609,2,-1,FALSE,-0.463647609,Down
H3v9unphfi0,28,female,White,1,TRUE,5,1,"4.10,26.70,55.05,116.81,237.30",3,3,No,2,8,1,4,3,2,1,1,3,5,9,4,14,2.236067977,-0.5463024898,,,-0.463647609,2,-1,FALSE,-0.463647609,Down
H3v9unphfi0,28,male,White,1,TRUE,2,1,"120.94,188.27",2,3,No,7,9,4,4.5,2,7,3.5,2,3,7,9,2,16,2.549509757,-3.380515006,,,1.373400767,-0.5,-2.5,Up,1.373400767,Up
H3v9unphfi0,56,male,White,0,FALSE,0,0,,0,0,No,6,5,3,2.5,3,3,1.5,1,4,6,10,4,16,2.549509757,0.2027100355,,,0.1973955598,2.5,0.5,Up,0.1973955598,Up
H3v9unphfi0,53,male,White,1,TRUE,2,1,"30.22,47.02",1,1,No,10,7,5,3.5,3,2,1,1,3,8,12,4,20,2.061552813,-0.2553419212,,,-0.2449786631,2,-0.5,FALSE,-0.2449786631,Down
H3v9unphfi0,45,male,White,1,TRUE,3,1,"101.30,215.52,293.42",1,1,No,8,8,4,4,3,1,0.5,0,3,5,8,3,13,2.692582404,-0.4227932187,,,-0.3805063771,2.5,-1,FALSE,-0.3805063771,Down
H3v9unphfi0,59,male,White,1,TRUE,4,2,"8.63,11.39,34.22,207.28",1,3,No,2,7,1,3.5,3,3,1.5,1,3,7,8,1,15,1.58113883,-0.3462535495,,,-0.3217505544,1.5,-0.5,FALSE,-0.3217505544,Down
H3v9unphfi0,22,male,Mixed,1,TRUE,2,1,"103.12,235.98",1,2,No,5,7,3,3.5,3,2,1,1,3,9,13,4,22,2.061552813,-0.2553419212,,,-0.2449786631,2,-0.5,FALSE,-0.2449786631,Down
H3v9unphfi0,21,female,Black ,1,TRUE,1,1,99.51,2,2,No,3,5,2,2.5,2,1,0.5,0,2,6,8,2,14,1.58113883,-0.3462535495,,,-0.3217505544,1.5,-0.5,FALSE,-0.3217505544,Down
fRL447oDId4,16,female,White,1,TRUE,3,2,"69.12,76.66,242.32",1,3,No,3,4,2,2,3,4,2,1,2,5,8,3,13,1,#DIV/0!,,,1.57,0,1,Up,1.57,Up
fRL447oDId4,38,female,White,0,FALSE,0,2,,1,1,No,4,7,2,3.5,3,7,3.5,2,3,-2,1,3,-1,0.7071067812,1.557407725,,,0.7853981634,-0.5,-0.5,Up,0.7853981634,Up
fRL447oDId4,45,female,White,1,TRUE,9,3,"62.09,70.87,85.16,134.56,176.43,233.87,276.51,310.10,409.19",3,3,No,7,7,4,3.5,4,4,2,1,4,6,10,4,16,2.061552813,0.2553419212,,,0.2449786631,2,0.5,Up,0.2449786631,Up
fRL447oDId4,63,female,White,1,TRUE,2,1,"132.19,260.31",2,3,No,7,6,4,3,3,4,2,1,3,7,11,4,18,1,0,,,0,1,0,FALSE,0,Down
fRL447oDId4,44,female,White,1,TRUE,2,2,"263.80,307.81",1,1,No,8,9,4,4.5,4,6,3,2,4,6,11,5,17,1.118033989,-0.5463024898,,,-0.463647609,1,-0.5,FALSE,-0.463647609,Down
fRL447oDId4,30,female,White,1,TRUE,2,1,"81.52,317.23",1,3,No,2,4,1,2,2,4,2,1,1,9,13,4,22,1,0,,,0,-1,0,FALSE,0,Down
fRL447oDId4,21,male,White,1,TRUE,4,3,"50.39,93.77,283.53,392.53",3,3,No,10,8,5,4,3,8,4,2,2,8,14,6,22,2.236067977,0.5463024898,,,0.463647609,-2,-1,Up,0.463647609,Up
fRL447oDId4,22,male,Mixed,0,FALSE,0,0,,1,0,No,8,7,4,3.5,3,0,0,0,3,7,14,7,21,3.041381265,-0.1682272183,,,-0.1651486774,3,-0.5,FALSE,-0.1651486774,Down
fRL447oDId4,50,select,Black,1,TRUE,3,1,"0.00,79.99,203.23",0,2,No,10,10,5,5,3,1,0.5,0,3,11,6,-5,17,3.201562119,-1.029638557,,,-0.6747409422,2.5,-2,FALSE,-0.6747409422,Down
fRL447oDId4,28,female,Asian,1,TRUE,2,2,"77.33,256.46",1,2,No,10,5,5,2.5,3,2,1,1,2,6,7,1,13,1.118033989,0.5463024898,,,0.463647609,1,0.5,Up,0.463647609,Up
YbNYinfj1h0,23,female,White,1,TRUE,2,3,"36.03,38.09",0,2,No,5,5,3,2.5,1,5,2.5,1,1,5,13,8,18,2.121320344,1.557407725,,,0.7853981634,-1.5,-1.5,Up,0.7853981634,Up
YbNYinfj1h0,26,female,White,1,TRUE,1,1,204.3,1,3,Unsure,4,8,2,4,4,1,0.5,0,3,7,12,5,19,2.5,0,,,0,2.5,0,FALSE,0,Down
