Video ID,Age,Gender,Ethnicity,chills Binary,chills Binary,Chills #,Chill Intensity,Timings,Daily Chills,NIO_Openess,Prior exposure,Sleppiness,Pre-Pleasure,Prepleasure /2 arrondi,Prepleasure /2,Post-Pleasure,Pre Calm,Pre-calm/2,Pre-calm/2 (rounded),Post Calm,Pre NEO,Post NEO,Diff NEO,Total NEO,Emotion drift,Direction,,,Tan inverse,Calm Diff,Pleasure Diff,,Tan inverse,
Bg_Q7KYWG1g,26,female,White,1,TRUE,1,2,441.44,2,2,No,4,7,2,3.5,3,2,1,1,2,12,15,3,27,1.118033989,-0.5463024898,,,-0.463647609,1,-0.5,FALSE,-0.463647609,Down
g-jwWYX7Jlo,51,female,White,1,TRUE,5,2,"55.32,95.56,178.68,331.87,363.07",2,3,No,6,7,3,3.5,3,7,3.5,2,3,6,9,3,15,0.7071067812,1.557407725,,,0.7853981634,-0.5,-0.5,Up,0.7853981634,Up
g-jwWYX7Jlo,20,female,White,1,TRUE,1,1,359.27,1,3,No,9,6,5,3,2,2,1,1,2,4,10,6,14,1.414213562,-1.557407725,,,-0.7853981634,1,-1,FALSE,-0.7853981634,Down
Bg_Q7KYWG1g,51,female,White,1,TRUE,7,2,"119.52,129.28,137.55,160.58,355.46,447.40,482.97",2,2,No,10,9,5,4.5,3,2,1,1,2,5,9,4,14,1.802775638,-14.10141995,,,-0.9827937232,1,-1.5,FALSE,-0.9827937232,Down
g-jwWYX7Jlo,26,female,White,1,TRUE,4,2,"46.40,63.04,243.75,328.55",3,3,No,6,6,3,3,3,2,1,1,2,3,8,5,11,1,0,,,0,1,0,FALSE,0,Down
26U_seo0a1g,35,female,White,1,TRUE,3,2,"77.73,87.30,235.65",1,0,No,3,8,2,4,2,1,0.5,0,2,4,10,6,14,2.5,-4.131728991,,,-0.927295218,1.5,-2,FALSE,-0.927295218,Down
26U_seo0a1g,23,female,White,1,TRUE,3,1,"357.18,357.18,357.18",0,2,No,9,6,5,3,3,2,1,1,3,9,13,4,22,2,0,,,0,2,0,FALSE,0,Down
26U_seo0a1g,31,female,White,1,TRUE,2,2,"2.05,34.54",1,3,No,1,8,1,4,3,10,5,3,1,11,14,3,25,4.123105626,0.2553419212,,,0.2449786631,-4,-1,Up,0.2449786631,Up
26U_seo0a1g,33,female,White,1,TRUE,1,1,331.37,1,2,No,6,6,3,3,1,7,3.5,2,2,5,9,4,14,2.5,4.131728991,,,0.927295218,-1.5,-2,Up,0.927295218,Up
g-jwWYX7Jlo,29,female,White,1,TRUE,2,1,"23.58,137.40",1,2,No,4,6,2,3,1,3,1.5,1,2,3,7,4,10,2.061552813,-1.157821282,,,-1.325817664,0.5,-2,FALSE,-1.325817664,Down
