Stimulus,mean_intensity,max_intensity,std_intensity,chills_ratio,mean_valence,mean_arousal,mean_liking,polarity,Stimulus name,Description ,URL
3rd Grade Drop Out (Audio),35.36363636363637,100,39.23006000066151,0.5324675324675324,7.116883116883117,4.6103896103896105,7.558441558441558,beneficial,,,
A Thing About Life,32.81333333333333,100,35.14360244472374,0.56,6.346666666666667,3.6933333333333334,7.293333333333333,beneficial,A Thing About Life,"This inspirational video, from Youtube creator TheGaroStudios, combines scenes from a number of films and television programs (including Into the Wild, Dead Poets Society, Wild, and Vikings), to form a single motivational message. It is intended to remind the viewer how precious life is and encourages the audience to live fully and deliberately.",https://youtu.be/5MveHH5k10I
Agnus Dei (Audio),35.19230769230769,100,37.280982127240534,0.5384615384615384,6.961538461538462,4.102564102564102,7.448717948717949,beneficial,Agnus Dei (Audio),"The Flemish Radio Choir performs Samuel Barber’s Agnes Dei, Opus 11, in Brussels. Agnus Dei (“Lamb of God”) comes from John 1:29 and is a part of the Latin liturgical tradition. The words of the song are a request for peace and forgiveness. In 1967, Barber set the Latin words of the liturgical Agnus Dei, a part of the Mass, for mixed chorus with optional organ or piano accompaniment.",https://youtu.be/bFnbGevBnvY
Air France,34.98550724637681,100,39.14170814212168,0.5072463768115942,7.463768115942029,4.695652173913044,7.405797101449275,beneficial,,,
Amelie,28.057142857142857,100,37.56728676916511,0.4142857142857143,6.857142857142857,4.114285714285714,7.3,beneficial,,,
Aramaic (Audio),30.391304347826086,100,35.21455973587209,0.4782608695652174,5.956521739130435,4.507246376811594,5.579710144927536,beneficial,,,
Aramaic Choir,37.294871794871796,100,39.109937945325946,0.5256410256410257,6.32051282051282,4.346153846153846,6.538461538461538,beneficial,Aramaic Choir,"Father Serafim Bitbunov and the choir of the Thirteen Holy Assyrian Fathers monastery perform a psalm in Aramaic that moves Pope Francis to tears during his visit to Svetitskhoveli Orthodox Cathedral in Mtskheta, Georgia. The Aramaic languages are an ancient branch of the Semitic language family, and there is scholarly consensus that the historical Jesus spoke Aramaic.",https://youtu.be/Zxqjf34ncUY
Be Kind,25.013157894736842,100,36.36939864631717,0.3815789473684211,6.026315789473684,4.078947368421052,6.447368421052632,beneficial,,,
Clair de Lune (Audio),29.2987012987013,100,38.196880878122734,0.44155844155844154,7.558441558441558,3.142857142857143,8.051948051948052,beneficial,Clair de Lune (Audio),"Claude Debussy’s “Clair de Lune,” (Suite bergamasque, CD 82, L. 75: III.), is one of the most well-known musical pieces of all time. It was inspired by the poem “Clair de lune” (“Moonlight”), by French poet Paul Verlaine. In Symbolist style, the poem’s imagery of masks, dancing, and moonlight evokes a particular mood that is well reflected in Debussy’s composition.",https://youtu.be/JRinyHJ_9-E
Cloud Atlas,23.43243243243243,100,33.054161067333645,0.40540540540540543,5.351351351351352,4.175675675675675,5.6891891891891895,beneficial,Cloud Atlas,"In this scene from the science fiction film Cloud Atlas, the narrator reflect on his trials and tribulations that seem to be universal, across both time and people. However, he spends his final moments, before his planned suicide, writing a note to his lover, focusing on the light that their love brought to his otherwise dark and insurmountable struggles.",https://youtu.be/tnXHFqw1ckk
